question,sub_opts,source
Do you approve or disapprove of the way President Nicolas Maduro is handling each of the following areas? b. relations with the U.S.,"['Approve', 'Disapprove']",GAS
Do you think the European Union understands the needs of your nationality citizens?,"['Yes', 'No']",GAS
"In your opinion, are average people benefiting or not benefiting from Nigeria's oil wealth?","['Are benefiting', 'Are not benefiting']",GAS
(Now/And thinking about the American people...) Which of these characteristics do you associate with the American people?...Arrogant...Do you associate this with the American people or not?,"['Yes', 'No']",GAS
"I am going to read you a list of things that might be important for getting ahead in life. On a scale of 0 to 10, in your opinion, how important is it...to be a male to get ahead in life, where 0 means not important at all and 10 means very important?","['Not important at all', 'Very important']",GAS
"Which side do you identify with more in this struggle, the groups who want to modernize the country or Islamic fundamentalists?","['Groups who want to modernize', 'Islamic fundamentalists']",GAS
Please tell me if you approve or disapprove of the way President Barack Obama is dealing with…China,"['Approve', 'Disapprove']",GAS
Do you support or oppose the recent agreement between the US and India accepting India's status as a country with nuclear weapons?,"['Support', 'Oppose']",GAS
Do you think the European Union ____? d. understands the needs of your nationality citizens,"['Yes', 'No']",GAS
Which of these characteristics do you associate with the Japanese? Do you associate ____ with the Japanese or not? d. nationalistic,"['Yes, associate', 'No, do not associate']",GAS
Do you support or oppose the U.S.-led military actions against the Islamic militant group in Iraq and Syria known as ISIS?,"['Support', 'Oppose']",GAS
Which of these characteristics do you associate with Muslims?...Devout...Do you associate this with Muslims or not?,"['Yes', 'No']",GAS
"Did you hear about the arrest of Mullah Baradar, an Afghan Taliban leader?","['Yes, heard about it', 'No, did not hear about it']",GAS
"As I read some policies of U.S. President Donald Trump, please tell me if you approve or disapprove of each one. c. U.S. withdrawal from the Iran nuclear weapons agreement","['Approve', 'Disapprove']",GAS
Which of the following statements comes closest to your opinion? It is not necessary to believe in God in order to be moral and have good values OR It is necessary to believe in God in order to be moral and have good values?,"['It is not necessary to believe in God in order to be moral and have good values', 'It is necessary to believe in God in order to be moral and have good values']",GAS
Do you approve or disapprove of the way George W. Bush is handling his job as President?,"['Approve', 'Disapprove']",GAS
"I’m going to read you a list of things your country might do in dealing with developing countries. As I read each one, please tell me if you would support or oppose it. b. importing more goods from developing countries","['Support', 'Oppose']",GAS
Please tell me whether you think the following statements apply to the United Nations or not. The United Nations… f. Advances the interests of countries like ours,"['Yes', 'No']",GAS
"Do you think the U.S. and NATO should keep military troops in Afghanistan until the situation has stabilized, or do you think the U.S. and NATO should remove their troops as soon as possible?","['Keep troops in Afghanistan', 'Remove their troops']",GAS
"Were you happy that the Iraqi military put up so little resistance to the US and its allies, or were you disappointed about that?","['Happy', 'Disappointed']",GAS
(Now/And thinking about the American people...) Which of these characteristics do you associate with the American people?...Honest...Do you associate this with the American people or not?,"['Yes', 'No']",GAS
"Which of these characteristics do you associate with (the Chinese, the Japanese)?...Male dominated...Do you associate this with (the Chinese, the Japanese) or not?","['Yes', 'No']",GAS
As I read some specific policies of President Barack Obama tell me if you approve or disapprove of them...Stimulating the U.S. economy through government spending.,"['Approve', 'Disapprove']",GAS
Do you think the next presidential election in our country will be conducted fairly or unfairly?,"['Fairly', 'Unfairly']",GAS
Please tell me whether you think the following describes U.S. president Joe Biden. Do you think of Joe Biden as ____? a. Well-qualified to be president,"['Yes', 'No']",GAS
"In your opinion, these days do you think there is a growing sense of Islamic identity among Muslims in our country or don't you think so?","['Yes', 'No']",GAS
As I read some specific policies of President Barack Obama tell me if you approve or disapprove of them...Closing the U.S. military prison in Guantanamo Bay.,"['Approve', 'Disapprove']",GAS
"Do you think the Pakistani government authorized the military operation that killed Osama bin Laden, or don't you think so?","['Yes, authorized the operation', 'No, did not authorize the operation']",GAS
"If one of our allies in Asia, such as Japan, South Korea or the Philippines, got into a serious military conflict with ____, do you think we should or should not use military force to defend them? b. North Korea","['Should use military force', 'Should not use military force']",GAS
As I read some specific policies of President Barack Obama tell me if you approve or disapprove of them...Sending additional troops to Afghanistan.,"['Approve', 'Disapprove']",GAS
Do you think the European Union is intrusive?,"['Yes', 'No']",GAS
Some people believe Islam should tolerate diverse interpretations of its teachings.  Others believe there is only one true interpretation of the teachings of Islam.  Which of these two points of view is closer to your own?,"['Islam should tolerate diverse interpretations of teachings', 'There is only one true interpretation of Islam teachings']",GAS
"According to news reports, the American government has been monitoring communications, such as emails and phone calls, in the U.S. and many other countries. In your opinion, is it acceptable or unacceptable for the American government to monitor communications from...Citizens of other countries?","['Acceptable', 'Unacceptable']",GAS
"Overall, how much influence do you think the United States is having on the way things are going in our country? Would you say it is having a great deal of influence, a fair amount, not too much, or no influence at all? (Ask if 'A great deal' or 'A fair amount':) Is this a good thing, a bad thing, or neither good nor bad?","['Good', 'Bad']",GAS
"In general, do you think the dissolution of the Soviet Union has been a good thing or a bad thing for Russia?","['Good thing', 'Bad thing']",GAS
Do you think there is a struggle in our country between groups who want to modernize the country and Islamic fundamentalists or don't you think so?,"['Yes, there is a struggle', 'No, there is not a struggle']",GAS
"If your country and ____ got into a serious military conflict, do you think that the United States would or would not use military force to defend our country? a. China","['Would use military force', 'Would not use military force']",GAS
"Now I'm going to read you some statements about President Barack Obama.  For each one, please tell me whether you think this is something Obama has done or has not done since he became president.  Do you think he has taken into account the interests of other countries when making international policy decisions or don't you think so?","['Has', 'Has not']",GAS
"Some people say the following things are important to them. On a scale of 0 to 10, how important is each thing to you personally, where 0 means not important at all and 10 means very important….To have a fulfilling job?","['Not important at all', 'Very important']",GAS
Which of these characteristics do you associate with people in Western countries such as the United States and Europe?...Honest...Do you associate this with people in Western countries or not?,"['Yes', 'No']",GAS
"Overall, do you approve or disapprove of the international policies of President Barack Obama?","['Approve', 'Disapprove']",GAS
"Which of the following statements comes to closer to your view? In general, most people can be trusted OR In general, most people cannot be trusted","['In general, most people can be trusted', 'In general, most people cannot be trusted']",GAS
Please tell me whether you think the following statements apply to the United Nations or not. The United Nations… e. Cares about the needs of ordinary people,"['Yes', 'No']",GAS
Do you think ____ tries to influence the internal affairs of other countries or do you think ____ mostly stays out of the internal affairs of other countries? e. Germany,"['Tries to influence the internal affairs of other countries', 'Mostly stays out of the internal affairs of other countries']",GAS
"Do you think the Egyptian government respects the personal freedoms of its people, or don't you think so? ","['Yes, respects personal freedoms', 'No, does not respect personal freedoms']",GAS
Do you think it's a good thing or a bad thing that people from East European countries come to live and work in this country?,"['Good', 'Bad']",GAS
"Do you think the government of Iran respects the personal freedoms of its people, or don't you think so?","['Yes, respects personal freedoms', 'No, does not respect personal freedoms']",GAS
"Now I'm going to read you some statements about President Barack Obama.  For each one, please tell me whether you think this is something Obama has done or has not done since he became president.  Do you think he has gotten the United States to take significant measures to control global climate change or don't you think so?","['Has', 'Has not']",GAS
"(Are you more optimistic or more pessimistic these days that the Middle East region will become more democratic?) In your opinion is this at least partly due to U.S. policies, or don't you think so?","['Yes--US policies', 'No--not US policies']",GAS
"Have you heard of the disease called swine flu found in many countries around the world, or haven't you heard of this?","['Have heard', 'Have not heard']",GAS
(Now/And thinking about the American people...) Which of these characteristics do you associate with the American people?...Selfish...Do you associate this with the American people or not?,"['Yes', 'No']",GAS
"If Iran were to develop nuclear weapons, do you think they would be likely to...attack the U.S. or European nations, or not?","['Yes, likely', 'No, not likely']",GAS
"Suppose you could choose between working for different kinds of companies, which one would you prefer?","['Family business', 'Publicly listed company/ private company not family owned']",WVS
"On this list are various groups of people. Could you please mention any that you would not like to have as neighbors?:

Demobilized from armed groups","['Mentioned', 'Not mentioned']",WVS
"Between equality and security, what is more important?","['Equality', 'Security']",WVS
"At school of university, have you ever taken part in any course or activity about entrepreneurship – that is turning ideas into action, developing your own projects?","['Yes', 'No']",WVS
Why would you prefer to be self-employed rather than an employee?,"['No', 'Yes']",WVS
